race_key,runner_id,horse_name,check_name,status,expected_value,actual_value,absolute_difference,tolerance,evidence
2026-05-30|CAULFIELD|R01,15632919,Obambulate,SPLIT_SUM_RECONCILES_TIMING_WINDOW,PASS,73.6,73.6,0,0.02,Supplied SplitTimes cover the full race and their sum reconciles with runner race time.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,LAST_600_EQUALS_600M_CUMULATIVE,PASS,35.42,35.42,0,0.02,Runner SixHundredMetresTime compared with the 600m cumulative sectional.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,LAST_200_EQUALS_200M_CUMULATIVE,PASS,12.06,12.06,0,0.02,Runner TwoHundredMetresTime compared with the 200m cumulative sectional.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,NOT_TESTED,,14.22,,0.02,Split 1200m-1000m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.7,11.7,0,0.02,Split 1000m-800m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12.26,12.26,0,0.02,Split 800m-600m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12,12,0,0.02,Split 600m-400m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.36,11.36,0,0.02,Split 400m-200m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12.06,12.06,0,0.02,Split 200m-FINISH compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,TIME_VARIATION_IS_CENTISECONDS,PASS,0,0,0,1.01,Source TimeVarToWinner compared with runner-minus-winner time multiplied by 100.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,DISTANCE_VARIATION_EQUALS_DISTANCE_DIFFERENCE,NOT_TESTED,0,,,0.01,Source DistanceVarToWinner compared with runner distance minus winner distance.
2026-05-30|CAULFIELD|R01,15632919,Obambulate,WINNER_TIME_EQUALS_RACE_TIME,PASS,73.6,73.6,0,0.02,Winning runner race time compared with supplied race-level race time.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,SPLIT_SUM_RECONCILES_TIMING_WINDOW,PASS,73.95,73.95,0,0.02,Supplied SplitTimes cover the full race and their sum reconciles with runner race time.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,LAST_600_EQUALS_600M_CUMULATIVE,PASS,35.83,35.83,0,0.02,Runner SixHundredMetresTime compared with the 600m cumulative sectional.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,LAST_200_EQUALS_200M_CUMULATIVE,PASS,12.32,12.32,0,0.02,Runner TwoHundredMetresTime compared with the 200m cumulative sectional.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,NOT_TESTED,,14.19,,0.02,Split 1200m-1000m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.66,11.66,0,0.02,Split 1000m-800m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12.27,12.27,0,0.02,Split 800m-600m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.97,11.97,0,0.02,Split 600m-400m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.54,11.54,0,0.02,Split 400m-200m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12.32,12.32,0,0.02,Split 200m-FINISH compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,TIME_VARIATION_IS_CENTISECONDS,PASS,35,35,0,1.01,Source TimeVarToWinner compared with runner-minus-winner time multiplied by 100.
2026-05-30|CAULFIELD|R01,15637372,Vivid Storm,DISTANCE_VARIATION_EQUALS_DISTANCE_DIFFERENCE,PASS,-4,-4,0,0.01,Source DistanceVarToWinner compared with runner distance minus winner distance.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,SPLIT_SUM_RECONCILES_TIMING_WINDOW,PASS,73.99,73.99,0,0.02,Supplied SplitTimes cover the full race and their sum reconciles with runner race time.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,LAST_600_EQUALS_600M_CUMULATIVE,PASS,35.39,35.39,0,0.02,Runner SixHundredMetresTime compared with the 600m cumulative sectional.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,LAST_200_EQUALS_200M_CUMULATIVE,PASS,11.82,11.82,0,0.02,Runner TwoHundredMetresTime compared with the 200m cumulative sectional.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,NOT_TESTED,,14.63,,0.02,Split 1200m-1000m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.64,11.64,0,0.02,Split 1000m-800m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12.33,12.33,0,0.02,Split 800m-600m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.97,11.97,0,0.02,Split 600m-400m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.6,11.6,0,0.02,Split 400m-200m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.82,11.82,0,0.02,Split 200m-FINISH compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,TIME_VARIATION_IS_CENTISECONDS,PASS,39,39,0,1.01,Source TimeVarToWinner compared with runner-minus-winner time multiplied by 100.
2026-05-30|CAULFIELD|R01,15637019,Star Of Macedon,DISTANCE_VARIATION_EQUALS_DISTANCE_DIFFERENCE,PASS,-2,-2,0,0.01,Source DistanceVarToWinner compared with runner distance minus winner distance.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,SPLIT_SUM_RECONCILES_TIMING_WINDOW,PASS,74.04,74.04,0,0.02,Supplied SplitTimes cover the full race and their sum reconciles with runner race time.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,LAST_600_EQUALS_600M_CUMULATIVE,PASS,35.58,35.58,0,0.02,Runner SixHundredMetresTime compared with the 600m cumulative sectional.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,LAST_200_EQUALS_200M_CUMULATIVE,PASS,12.24,12.24,0,0.02,Runner TwoHundredMetresTime compared with the 200m cumulative sectional.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,NOT_TESTED,,14.52,,0.02,Split 1200m-1000m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.68,11.68,0,0.02,Split 1000m-800m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12.26,12.26,0,0.02,Split 800m-600m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.82,11.82,0,0.02,Split 600m-400m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.52,11.52,0,0.02,Split 400m-200m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12.24,12.24,0,0.02,Split 200m-FINISH compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,TIME_VARIATION_IS_CENTISECONDS,PASS,44,44,0,1.01,Source TimeVarToWinner compared with runner-minus-winner time multiplied by 100.
2026-05-30|CAULFIELD|R01,15634770,Monumentum,DISTANCE_VARIATION_EQUALS_DISTANCE_DIFFERENCE,PASS,-1,-1,0,0.01,Source DistanceVarToWinner compared with runner distance minus winner distance.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,SPLIT_SUM_RECONCILES_TIMING_WINDOW,PASS,74.1,74.1,0,0.02,Supplied SplitTimes cover the full race and their sum reconciles with runner race time.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,LAST_600_EQUALS_600M_CUMULATIVE,PASS,35.27,35.27,0,0.02,Runner SixHundredMetresTime compared with the 600m cumulative sectional.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,LAST_200_EQUALS_200M_CUMULATIVE,PASS,11.98,11.98,0,0.02,Runner TwoHundredMetresTime compared with the 200m cumulative sectional.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,NOT_TESTED,,14.98,,0.02,Split 1200m-1000m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.48,11.48,0,0.02,Split 1000m-800m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12.37,12.37,0,0.02,Split 800m-600m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.94,11.94,0,0.02,Split 600m-400m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.35,11.35,0,0.02,Split 400m-200m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.98,11.98,0,0.02,Split 200m-FINISH compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,TIME_VARIATION_IS_CENTISECONDS,PASS,50,50,0,1.01,Source TimeVarToWinner compared with runner-minus-winner time multiplied by 100.
2026-05-30|CAULFIELD|R01,15637813,Autumn Rainbow,DISTANCE_VARIATION_EQUALS_DISTANCE_DIFFERENCE,PASS,2,2,0,0.01,Source DistanceVarToWinner compared with runner distance minus winner distance.
2026-05-30|CAULFIELD|R01,15637214,Qayed,SPLIT_SUM_RECONCILES_TIMING_WINDOW,PASS,74.38,74.38,0,0.02,Supplied SplitTimes cover the full race and their sum reconciles with runner race time.
2026-05-30|CAULFIELD|R01,15637214,Qayed,LAST_600_EQUALS_600M_CUMULATIVE,PASS,35.8,35.8,0,0.02,Runner SixHundredMetresTime compared with the 600m cumulative sectional.
2026-05-30|CAULFIELD|R01,15637214,Qayed,LAST_200_EQUALS_200M_CUMULATIVE,PASS,12.21,12.21,0,0.02,Runner TwoHundredMetresTime compared with the 200m cumulative sectional.
2026-05-30|CAULFIELD|R01,15637214,Qayed,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,NOT_TESTED,,14.69,,0.02,Split 1200m-1000m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637214,Qayed,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.59,11.59,0,0.02,Split 1000m-800m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637214,Qayed,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,12.3,12.3,0,0.02,Split 800m-600m compared with difference between cumulative markers.
2026-05-30|CAULFIELD|R01,15637214,Qayed,SPLIT_EQUALS_CUMULATIVE_DIFFERENCE,PASS,11.93,11.93,0,0.02,Split 600m-400m compared with difference between cumulative markers.
