source_id,source_name,data_type,adapter_version,checked_at,endpoint_class,credential_required,credential_present,HTTP_status,response_class,access_status,latest_available_data_date,latest_successful_collection_at,latest_successful_evidence_hash,consecutive_failures,retryable,operator_action_required,legal_or_licensing_review_required,next_check_class,builder_version,contract_version
RACINGCOM_THREE_DAY_PRODUCT_CATALOG,Racing.com three-day catalogue,meeting catalogue/race fields/track condition,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:05:00Z,REST_APPV2,NO,N/A,200,SUCCESS,SUPPORTED_AND_WORKING,2026-07-31,2026-07-29T02:05:00Z,d5a4af1dd6b59bd4c21ce699095586c95bc385fec11b34c2f60afe2fe6d6cb6b,0,YES,continue current-day discovery,NO,daily current-day refresh,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
RACINGCOM_GRAPHQL_SPEED_TIMING,Racing.com GraphQL timing/speed,speed/timing/sectionals,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:05:00Z,GRAPHQL,YES,NO,SKIPPED,AUTHENTICATION_REQUIRED,SUPPORTED_CREDENTIAL_REQUIRED,2026-07-01,,,1,NO,Set approved RACINGCOM_PUBLIC_WIDGET_API_KEY,YES,after credential supplied,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
RACING_AUSTRALIA_FREEFIELDS_RESULTS,Racing Australia FreeFields results,official results/timing/margins,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:05:00Z,HTML_FREEFIELDS,UNKNOWN,N/A,403,ACCESS_FORBIDDEN,SOURCE_ACCESS_FORBIDDEN,2026-05-12,,,1,NO,Resolve approved access or use official manual export/commercial feed,YES,operator review,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
LOCAL_RACINGCOM_SPEED_OUTPUTS,Retained local Racing.com speed outputs,speed/sectionals,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:05:00Z,LOCAL_CSV,NO,N/A,,LOCAL_FILE,SOURCE_DELAYED,2026-07-01,,74f2e8275152005bcb761472a7368c675bdd1f448bdf801d2be153f220b6b61e,0,YES,Wait for approved speed source or import official export,NO,speed pending refresh,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
GOVERNED_TRACK_CONDITION_EVIDENCE,Governed track condition evidence,track condition,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:05:00Z,LOCAL_CSV,NO,N/A,,LOCAL_FILE,SOURCE_DELAYED,2026-07-31,,107548d6f55b35c81d82377dc9a05524970cd0076eb4395cdb9b0791eb7045eb,0,YES,continue collection,NO,current-day refresh,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
RACINGCOM_THREE_DAY_PRODUCT_CATALOG,Racing.com three-day catalogue,meeting catalogue/race fields/track condition,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:07:56Z,REST_APPV2,NO,N/A,200,SUCCESS,SUPPORTED_AND_WORKING,2026-07-31,2026-07-29T02:07:56Z,d5a4af1dd6b59bd4c21ce699095586c95bc385fec11b34c2f60afe2fe6d6cb6b,0,YES,continue current-day discovery,NO,daily current-day refresh,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
RACINGCOM_GRAPHQL_SPEED_TIMING,Racing.com GraphQL timing/speed,speed/timing/sectionals,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:07:56Z,GRAPHQL,YES,NO,SKIPPED,AUTHENTICATION_REQUIRED,SUPPORTED_CREDENTIAL_REQUIRED,2026-07-01,,,1,NO,Set approved RACINGCOM_PUBLIC_WIDGET_API_KEY,YES,after credential supplied,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
RACING_AUSTRALIA_FREEFIELDS_RESULTS,Racing Australia FreeFields results,official results/timing/margins,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:07:56Z,HTML_FREEFIELDS,UNKNOWN,N/A,403,ACCESS_FORBIDDEN,SOURCE_ACCESS_FORBIDDEN,2026-05-12,,,1,NO,Resolve approved access or use official manual export/commercial feed,YES,operator review,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
LOCAL_RACINGCOM_SPEED_OUTPUTS,Retained local Racing.com speed outputs,speed/sectionals,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:07:56Z,LOCAL_CSV,NO,N/A,,LOCAL_FILE,SOURCE_DELAYED,2026-07-01,,74f2e8275152005bcb761472a7368c675bdd1f448bdf801d2be153f220b6b61e,0,YES,Wait for approved speed source or import official export,NO,speed pending refresh,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
GOVERNED_TRACK_CONDITION_EVIDENCE,Governed track condition evidence,track condition,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,2026-07-29T02:07:56Z,LOCAL_CSV,NO,N/A,,LOCAL_FILE,SOURCE_DELAYED,2026-07-31,,107548d6f55b35c81d82377dc9a05524970cd0076eb4395cdb9b0791eb7045eb,0,YES,continue collection,NO,current-day refresh,EDGEIQ_EXTERNAL_DATA_INTEGRATION_RECOVERY_V1,1.0.0
