repository_file,field_category,matched_text,context,line_estimate,source_status,canonical_field,authority,track_name,meeting_date,notes
data\weather\live_raw_on_track_weather_v1.json,TRACK_CONDITION,goingReport,"Metic"": [],         ""et-24hr"": 0.54,         ""et-7day"": 2.43,         ""et-since"": 0.03,         ""etEnabled"": true,         ""going-race-date"": ""Saturday, 18th July, 2026"",         ""goingReport"": 0,         ""haveManualRain"": false,         ""humidity-current"": 78.63,         ""humidity-max"": 90.58,         ""humidity-min"": 77.66,         ""isDemo"": false,         ""isLastMeeting"": false,         ""location-date"": ""Saturday, 18th July, 2026"",         ""location-track-type"": ""N/a"",         ""locati",43,DISCOVERED_UNVERIFIED,,,,,
data\weather\live_raw_on_track_weather_v1.json,RAIL_CURRENT,rail position,", 2020, 2021, 2022, 2023, 2024, 2025, 2026 Turftrax Ltd. All Rights Reserved.""       },       ""content"": {         ""additional-comment"": ""Previous meeting: 27 Jun 2026 at +3 metre rail position. Last meeting with current rail position: 15 Nov 2025 "",         ""air-temperature-current"": 12.45,         ""air-temperature-max"": 13.22,         ""air-temperature-min"": 11.86,         ""awt-race-date"": ""N/a"",         ""awtReport"": 0,         ""carousel"": {           ""temperature"": {             ""defaul",212,DISCOVERED_UNVERIFIED,,,,,
data\weather\live_raw_on_track_weather_v1.json,IRRIGATION_GENERAL,irrigation,"84_zones.svg"",         ""goingReport"": 1,         ""haveManualRain"": false,         ""humidity-current"": 72.66,         ""humidity-max"": 92.31,         ""humidity-min"": 71.68,         ""irrigation-report"": ""Last 24hrs- Nil/ Last 7 Days- Nil"",         ""isDemo"": false,         ""isLastMeeting"": false,         ""location-date"": ""Saturday, 25th July, 2026"",         ""location-title"": ""Sportsbet Caulfield Winter Raceday"",         ""location-track-type"": ""N/a"",         ""location-venue"": ""Caulfield"",",241,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_live_endpoint_candidates_v1.csv,TRACK_CONDITION,going-report,"﻿""File"",""LineNumber"",""Match"",""Context"" ""data\weather-source-audit\live-turftrax\caulfield_raw.json"",""32"",""/going-reports/338784_waypoints.svg"",""""""going-waypoint-map"""": """"https://api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg"""","" ""data\weather-source-audit\live-turftrax\caulfield_raw.json"",""32"",""api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg"",""""""going-waypoint-map"""": """"https://api.turftrax.co.",2,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_governed_v1_1.csv,TRACK_CONDITION,going_report,"﻿age_minutes,track_ids,display_behaviour,freshness_checked_at,freshness_status,going_race_date,going_report,going_report_date,going_waypoint_map,going_zone_map,governed_source_state,humidity_max_percent,humidity_min_percent,humidity_percent,local_time,observation_local,rain_24h_mm,rain_24h_unit,rain_7d_mm,rain_7d_unit,rain_today_mm,rain_today_unit,schema_version,server_time,source_owner,source_page,sourc",1,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_governed_v1_1.csv,RAINFALL_24H,rain_24h,"date,going_report,going_report_date,going_waypoint_map,going_zone_map,governed_source_state,humidity_max_percent,humidity_min_percent,humidity_percent,local_time,observation_local,rain_24h_mm,rain_24h_unit,rain_7d_mm,rain_7d_unit,rain_today_mm,rain_today_unit,schema_version,server_time,source_owner,source_page,source_repository_file,source_state,source_type,station_id,station_id_source,station_status,station_type,temperature_c,temperature_max_c,temperature_min_c,temperature_unit,trac",1,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_governed_v1_1_lineage.csv,RAINFALL_24H,rain_24h,",km/h,NO, Flemington,wind_gust_max_kmh,source windgust-max; unit km/h,NONE,km/h,km/h,NO, Flemington,rain_today_mm,source rain1-today/rain2-today; unit mm,NONE,mm,mm,NO, Flemington,rain_24h_mm,source rain1-24hr/rain2-24hr; unit mm,NONE,mm,mm,NO, Flemington,rain_7d_mm,source rain1-7day/rain2-7day; unit mm,NONE,mm,mm,NO, Flemington,freshness_status,on_track_weather_freshness_v1.csv,NONE,,,NO, Flemington,usable_as_current,on_track_weather_freshness_v1.csv,NONE,,,NO, Caulfield,temperature",8,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_governed_v1_1_lineage.csv,RAINFALL_7D,7day/rain,"rain_today_mm,source rain1-today/rain2-today; unit mm,NONE,mm,mm,NO, Flemington,rain_24h_mm,source rain1-24hr/rain2-24hr; unit mm,NONE,mm,mm,NO, Flemington,rain_7d_mm,source rain1-7day/rain2-7day; unit mm,NONE,mm,mm,NO, Flemington,freshness_status,on_track_weather_freshness_v1.csv,NONE,,,NO, Flemington,usable_as_current,on_track_weather_freshness_v1.csv,NONE,,,NO, Caulfield,temperature_c,source temperature-current; unit C,NONE,C,C,NO, Caulfield,wind_speed_kmh,source windspeed-current;",9,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_governed_v1_2.csv,TRACK_CONDITION,going_report,"idity_percent,wind_speed_kmh,wind_speed_average_kmh,wind_direction_text,wind_direction_degrees,wind_gust_kmh,wind_gust_max_kmh,rain_today_mm,rain_24h_mm,rain_7d_mm,weather_comment,going_report,going_report_date,freshness_status,age_minutes,usable_as_current,governed_source_state,schema_version Flemington,FLEMINGTON,VRC,VRC_ON_TRACK,https://www.vrc.com.au/track-and-weather-conditions/,https://www.vrc.com.au/umbraco/api/TurfSportsAPI/GetTurfData,VRC_FLEMINGTON_ON_TRACK,active,2026-07-14T07",1,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_governed_v1_2.csv,RAINFALL_24H,rain_24h,"_timestamp,fetched_at,temperature_c,humidity_percent,wind_speed_kmh,wind_speed_average_kmh,wind_direction_text,wind_direction_degrees,wind_gust_kmh,wind_gust_max_kmh,rain_today_mm,rain_24h_mm,rain_7d_mm,weather_comment,going_report,going_report_date,freshness_status,age_minutes,usable_as_current,governed_source_state,schema_version Flemington,FLEMINGTON,VRC,VRC_ON_TRACK,https://www.vrc.com.au/track-and-weather-conditions/,https://www.vrc.com.au/umbraco/api/TurfSportsAPI/GetTurfData,V",1,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_governed_v1_2_lineage.csv,TRACK_CONDITION,going_report,"verified v1.1 mapping/freshness builder,NONE,mm,mm,NO, Flemington,weather_comment,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO, Flemington,going_report,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO, Flemington,freshness_status,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,,,NO, Flemington,usable_as_current,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness",14,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_governed_v1_2_lineage.csv,RAINFALL_24H,rain_24h,"ed v1.1 mapping/freshness builder,NONE,km/h,km/h,NO, Flemington,rain_today_mm,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,mm,mm,NO, Flemington,rain_24h_mm,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,mm,mm,NO, Flemington,rain_7d_mm,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshness builder,NONE,mm,mm,NO, Flemington,weather_comment,live_raw_on_track_weather_v1.json + verified v1.1 mapping/freshne",11,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_observation_lineage_v1.csv,TRACK_CONDITION,going_report,"\weather-source-audit\live-vrc\vrc_turf_raw.json,weather_comment,weather-comment,direct typed normalisation,NO, Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,going_report,going-report,direct typed normalisation,NO, Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,observation_local,weather-date + weather-last-update,direct typed normalisation,NO, Caulfield,TURFTRAX,data\weather-source-audit\live-turftrax\caulfield_raw.json,temperature_c,air-tempera",14,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_observation_lineage_v1.csv,RAINFALL_24H,rain_24h,"er-source-audit\live-vrc\vrc_turf_raw.json,rain_today_mm,rain1-today|rain2-today,direct typed normalisation,NO, Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,rain_24h_mm,rain1-24hr|rain2-24hr,direct typed normalisation,NO, Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,rain_7d_mm,rain1-7day|rain2-7day,direct typed normalisation,NO, Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,weather_comment,weather-comment,direct type",11,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_observation_lineage_v1.csv,RAINFALL_7D,7day|rain,"it\live-vrc\vrc_turf_raw.json,rain_24h_mm,rain1-24hr|rain2-24hr,direct typed normalisation,NO, Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,rain_7d_mm,rain1-7day|rain2-7day,direct typed normalisation,NO, Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,weather_comment,weather-comment,direct typed normalisation,NO, Flemington,VRC,data\weather-source-audit\live-vrc\vrc_turf_raw.json,going_report,going-report,direct typed normalisation,NO, Flemin",12,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_observation_v1.csv,TRACK_CONDITION,going_report,"ed_average,wind_direction_text,wind_direction_degrees,wind_gust_current,wind_gust_min,wind_gust_max,wind_gust_event,rain_today_mm,rain_24h_mm,rain_7d_mm,weather_comment,track_type,going_report,going_report_date,going_race_date,going_zone_map,going_waypoint_map,source_state,schema_version Flemington,FLEMINGTON,VRC,VRC_ON_TRACK,https://www.vrc.com.au/track-and-weather-conditions/,data\weather-source-audit\live-vrc\vrc_turf_raw.json,VRC_FLEMINGTON_ON_TRACK,edgeiq_stable_source_identifier,wt",1,DISCOVERED_UNVERIFIED,,,,,
data\weather\on_track_weather_observation_v1.csv,RAINFALL_24H,rain_24h,"t,humidity_max_percent,wind_speed_current,wind_speed_average,wind_direction_text,wind_direction_degrees,wind_gust_current,wind_gust_min,wind_gust_max,wind_gust_event,rain_today_mm,rain_24h_mm,rain_7d_mm,weather_comment,track_type,going_report,going_report_date,going_race_date,going_zone_map,going_waypoint_map,source_state,schema_version Flemington,FLEMINGTON,VRC,VRC_ON_TRACK,https://www.vrc.com.au/track-and-weather-conditions/,data\weather-source-audit\live-vrc\vrc_turf_raw.json,VRC_",1,DISCOVERED_UNVERIFIED,,,,,
data\weather\turftrax_live_request_contract_candidates_v1.csv,TRACK_CONDITION,going-report,"th||s()(\"""".event-conditions__track\"""").length)&&s.a.getJSON(\""""/umbraco/api/TurfSportsAPI/GetTurfData\"""",(function(e){if(console.log(\""""turfdata\"""",e),e.content.hasOwnProperty(\""""going-report\"""")?(s()('div[data-condition=\""""rating\""""]').find(\"""".conditions_data__block-data\"""").text(e.content[\""""going-report\""""]),s()(\"""".conditions-wind__legend-going\"""").text(e.content[\""""going-report\""""])):(s()('div[data-condition=\""""rating\""""]').find(\"""".conditions_data__block-data\"""").text(\""""-\""""),s(",2,DISCOVERED_UNVERIFIED,,,,,
data\weather-source-audit\live-turftrax\caulfield_raw.json,TRACK_CONDITION,going-report,"""disableMetic"": [],       ""et-24hr"": 0.37,       ""et-7day"": 1.28,       ""et-since"": 0.15,       ""etEnabled"": true,       ""going-race-date"": ""Saturday, 11th July, 2026"",       ""going-report"": ""Soft 7"",       ""going-report-date"": ""Saturday, 11th July, 2026 at 6:17 am"",       ""going-waypoint-map"": ""https://api.turftrax.co.uk/maps/going-reports/338784_waypoints.svg"",       ""going-zone-map"": ""https://api.turftrax.co.uk/maps/going-reports/338784_zones.svg"",       ""goingReport"": 1,       ""h",30,DISCOVERED_UNVERIFIED,,,,,
