race_date,day_bucket,track,normalised_track,meeting_type,race_no,race_key,distance,track_condition,track_rating,rail_position,weather,weather_wind_direction,weather_wind_speed,weather_rain,weather_min,weather_max,rainfall,weather_status,weather_completeness_pct,track_bias_band,track_bias_confidence,track_fit_band,weather_summary,source,built_at
2026-07-01,TODAY,Sportsbet Sandown Lakeside,SANDOWN LAKESIDE,,1,2026-07-01_SANDOWNLAKESIDE_R1,1300m,Heavy,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,LOW_SAMPLE,SOURCE_GAP,UNKNOWN,"Sportsbet Sandown Lakeside R1: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Heavy 9. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
2026-07-01,TODAY,Sportsbet Sandown Lakeside,SANDOWN LAKESIDE,,2,2026-07-01_SANDOWNLAKESIDE_R2,1600m,Heavy,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,LOW_SAMPLE,SOURCE_GAP,UNKNOWN,"Sportsbet Sandown Lakeside R2: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Heavy 9. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
2026-07-01,TODAY,Sportsbet Sandown Lakeside,SANDOWN LAKESIDE,,3,2026-07-01_SANDOWNLAKESIDE_R3,1600m,Heavy,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,LOW_SAMPLE,SOURCE_GAP,UNKNOWN,"Sportsbet Sandown Lakeside R3: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Heavy 9. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
2026-07-01,TODAY,Sportsbet Sandown Lakeside,SANDOWN LAKESIDE,,4,2026-07-01_SANDOWNLAKESIDE_R4,2400m,Heavy,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,LOW_SAMPLE,SOURCE_GAP,UNKNOWN,"Sportsbet Sandown Lakeside R4: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Heavy 9. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
2026-07-01,TODAY,Sportsbet Sandown Lakeside,SANDOWN LAKESIDE,,5,2026-07-01_SANDOWNLAKESIDE_R5,1300m,Heavy,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,LOW_SAMPLE,SOURCE_GAP,UNKNOWN,"Sportsbet Sandown Lakeside R5: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Heavy 9. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
2026-07-01,TODAY,Sportsbet Sandown Lakeside,SANDOWN LAKESIDE,,6,2026-07-01_SANDOWNLAKESIDE_R6,1200m,Heavy,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,LOW_SAMPLE,SOURCE_GAP,UNKNOWN,"Sportsbet Sandown Lakeside R6: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Heavy 9. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
2026-07-01,TODAY,Sportsbet Sandown Lakeside,SANDOWN LAKESIDE,,7,2026-07-01_SANDOWNLAKESIDE_R7,1600m,Heavy,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,LOW_SAMPLE,SOURCE_GAP,UNKNOWN,"Sportsbet Sandown Lakeside R7: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Heavy 9. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
2026-07-01,TODAY,Sportsbet Sandown Lakeside,SANDOWN LAKESIDE,,8,2026-07-01_SANDOWNLAKESIDE_R8,1400m,Heavy,9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,LOW_SAMPLE,SOURCE_GAP,UNKNOWN,"Sportsbet Sandown Lakeside R8: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Heavy 9. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
2026-07-02,TOMORROW,Sportsbet-Ballarat Synthetic,BALLARAT SYNTHETIC,COUNTRY,1,2026-07-02_BALLARATSYNTHETIC_R1,1200m,Synth,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,UNKNOWN,SOURCE_GAP,UNKNOWN,"Sportsbet-Ballarat Synthetic R1: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Synth UNKNOWN. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
2026-07-02,TOMORROW,Sportsbet-Ballarat Synthetic,BALLARAT SYNTHETIC,COUNTRY,2,2026-07-02_BALLARATSYNTHETIC_R2,1200m,Synth,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SOURCE_GAP,0.0,UNKNOWN,SOURCE_GAP,UNKNOWN,"Sportsbet-Ballarat Synthetic R2: weather UNKNOWN, rain UNKNOWN, wind UNKNOWN UNKNOWN; track Synth UNKNOWN. Weather source status SOURCE_GAP.",RACING_COM_GETMEETSBYMONTH_PLUS_GETRACENUMBERLIST,2026-07-01T19:46:30+00:00
