slot_id,current_race_date,current_meeting,current_race_number,runner_name,form_run_date,form_track,form_track_key,form_race_number,form_distance,form_position,form_margin,final_classification,governed_reason,evidence,canonical_performance_id,canonical_race_id,warehouse_track,warehouse_race_number,warehouse_distance,epi_value
race001_runner03_run01,2026-09-14,Hamilton,1,Bronx Brawler,2026-06-11,CAULFIELD HEATH,CAUH,12,900,3,1.6,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_9EB49B4C22FE3E5A,EIQ_RACE_2767A015720F3931,CAULFIELD HEATH,12.0,900,
race001_runner04_run01,2026-09-14,Hamilton,1,Dun Dirt Sweet,2026-03-02,BET365 COLAC,CLAC,3,800,,0.0,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_margin_exact,EIQ_PERFORMANCE_DBD4B00D10C7E239,EIQ_RACE_FF199D28F910BD4E,BET365 COLAC,3.0,800,
race001_runner05_run01,2026-09-14,Hamilton,1,Golden Rainbow,2026-05-14,CAULFIELD HEATH,CAUH,4,1000,3,1.95,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_63B12D8B256E4456,EIQ_RACE_7600500F2AD6C83E,CAULFIELD HEATH,4.0,1000,
race001_runner08_run01,2026-09-14,Hamilton,1,Magnum,2012-01-24,WANGARATTA,WANG,4,2010,1,0.0,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_6C9DF21E3C4F6723,EIQ_RACE_EE3B8CEDF3A44621,WANGARATTA,4.0,2010,0.0000
race001_runner08_run02,2026-09-14,Hamilton,1,Magnum,2012-01-06,CRANBOURNE,CRAN,4,2025,8,3.55,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_0B0ECA15649B442D,EIQ_RACE_0AB0DFC0237C6AD0,CRANBOURNE,4.0,2025,9.4000
race001_runner09_run01,2026-09-14,Hamilton,1,Quynh,2026-06-11,CAULFIELD HEATH,CAUH,4,1050,3,2.5,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_61F240EB663A29FC,EIQ_RACE_BD266993CFA198AB,CAULFIELD HEATH,4.0,1050,
race002_runner01_run01,2026-09-14,Hamilton,2,Power Of Hindsight,2026-01-03,SOUTHSIDE CRANBOURNE,CRAN,1,2520,4,14.46,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_FF50DC9580CDE144,EIQ_RACE_ABC1166F3960CC19,SOUTHSIDE CRANBOURNE,1.0,2520,
race002_runner01_run02,2026-09-14,Hamilton,2,Power Of Hindsight,2026-01-03,SOUTHSIDE CRANBOURNE,CRAN,8,2520,4,14.46,LEGITIMATE_NO_EPI_UNMATCHED_BENCHMARK,PHYSICAL_WAREHOUSE_RUN_NOT_CERTIFIED_EPI,blank_exact|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_FF50DC9580CDE144,EIQ_RACE_ABC1166F3960CC19,SOUTHSIDE CRANBOURNE,1.0,2520,
race002_runner01_run03,2026-09-14,Hamilton,2,Power Of Hindsight,2025-12-31,WARRNAMBOOL,WNBL,3,2000,11,7.46,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_E18381087915EBAF,EIQ_RACE_5AF63351677F2C9B,WARRNAMBOOL,3.0,2000,26.8500
race002_runner01_run04,2026-09-14,Hamilton,2,Power Of Hindsight,2025-12-20,BET365 COLAC,CLAC,3,2000,5,8.05,CERTIFIED_EPI_UNIQUE_MATCH,DIRECT_EXACT_HORSE_DATE_TRACK_DISTANCE,direct|horse_name_exact_candidate|date_exact|canonical_track_exact|distance_exact|race_number_exact|finish_position_exact|finish_margin_exact,EIQ_PERFORMANCE_0D6CB2A26C2E6F72,EIQ_RACE_905C7E6DB379B95C,BET365 COLAC,3.0,2000,50.5750
