race_date,track,race_no,race_key,strongest_firmer,largest_drifter,market_efficiency,overlay_count,strong_overlay_count,avg_bet_quality_score,market_comment
2026-06-21,BALLARAT SYNTHETIC,5,2026-06-21|BALLARATSYNTHETIC|5,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-21,BALLARAT SYNTHETIC,7,2026-06-21|BALLARATSYNTHETIC|7,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-21,CRANBOURNE,1,2026-06-21|CRANBOURNE|1,,,FAIR,3,3,,Market looks fair with 3 positive overlays and 3 strong overlays.
2026-06-21,CRANBOURNE,2,2026-06-21|CRANBOURNE|2,,,LOOSE,5,4,,Market looks loose with 5 positive overlays and 4 strong overlays.
2026-06-21,CRANBOURNE,3,2026-06-21|CRANBOURNE|3,,,LOOSE,7,5,,Market looks loose with 7 positive overlays and 5 strong overlays.
2026-06-21,CRANBOURNE,4,2026-06-21|CRANBOURNE|4,,,LOOSE,8,8,,Market looks loose with 8 positive overlays and 8 strong overlays.
2026-06-21,CRANBOURNE,5,2026-06-21|CRANBOURNE|5,,,LOOSE,6,6,,Market looks loose with 6 positive overlays and 6 strong overlays.
2026-06-21,CRANBOURNE,6,2026-06-21|CRANBOURNE|6,,,FAIR,3,3,,Market looks fair with 3 positive overlays and 3 strong overlays.
2026-06-21,CRANBOURNE,7,2026-06-21|CRANBOURNE|7,,,LOOSE,5,5,,Market looks loose with 5 positive overlays and 5 strong overlays.
2026-06-21,CRANBOURNE,8,2026-06-21|CRANBOURNE|8,,,LOOSE,6,6,,Market looks loose with 6 positive overlays and 6 strong overlays.
2026-06-21,CRANBOURNE,9,2026-06-21|CRANBOURNE|9,,,LOOSE,4,4,,Market looks loose with 4 positive overlays and 4 strong overlays.
2026-06-22,PAKENHAM SYNTHETIC,1,2026-06-22|PAKENHAMSYNTHETIC|1,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-22,PAKENHAM SYNTHETIC,2,2026-06-22|PAKENHAMSYNTHETIC|2,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-22,PAKENHAM SYNTHETIC,3,2026-06-22|PAKENHAMSYNTHETIC|3,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-22,PAKENHAM SYNTHETIC,4,2026-06-22|PAKENHAMSYNTHETIC|4,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-22,PAKENHAM SYNTHETIC,5,2026-06-22|PAKENHAMSYNTHETIC|5,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-22,PAKENHAM SYNTHETIC,6,2026-06-22|PAKENHAMSYNTHETIC|6,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-22,PAKENHAM SYNTHETIC,7,2026-06-22|PAKENHAMSYNTHETIC|7,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-23,ECHUCA,1,2026-06-23|ECHUCA|1,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-23,ECHUCA,2,2026-06-23|ECHUCA|2,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-23,ECHUCA,3,2026-06-23|ECHUCA|3,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-23,ECHUCA,4,2026-06-23|ECHUCA|4,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-23,ECHUCA,5,2026-06-23|ECHUCA|5,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-23,ECHUCA,6,2026-06-23|ECHUCA|6,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-23,ECHUCA,7,2026-06-23|ECHUCA|7,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-23,ECHUCA,8,2026-06-23|ECHUCA|8,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
2026-06-23,ECHUCA,9,2026-06-23|ECHUCA|9,,,TIGHT,0,0,,Market looks tight with 0 positive overlays and 0 strong overlays.
